sentimiento;comentario
negativo;Es ridículo que los supermercados Gama no tengan efectivo! Esto es un gran problema para muchos de nosotros. #SupermercadosGama #FaltaDeEfect
positivo;El gama es muy fiable y ofrece una excelente relación calidad-precio.
neutro;deberian mejorar los servicios, pero buen mercado
negativo;¡La falta de efectivo de los supermercados Gama es un desastre! ¿Cómo puedo pagar si no hay efectivo disponible? #SupermercadosGama #FaltaDeEfectivo
positivo;El gama es una buena opción para aquellos que buscan algo asequible sin sacrificar la calidad.
neutro;no tengo una opinion definida sobre los supermercados gama
negativo;¡No puedo creer que los supermercados Gama no tengan efectivo! Esto es un gran problema para muchos de nosotros. #SupermercadosGama #FaltaDeEfectivo
positivo;El gama ofrece una excelente relación calidad-precio, y es una buena opción para aquellos que quieran un producto de calidad a un precio asequible.
neutro;no me importa mucho todo lo que pase en los Gama
negativo;¿Cómo puedo pagar la compra si los supermercados Gama no tienen efectivo? Esto es inaceptable. #SupermercadosGama #FaltaDeEfectivo
positivo;El gama es una buena opción para aquellos que buscan algo fiable que no sacrifique la calidad.
neutro;no se que pensar sobre los precios del gama la verdad
negativo;¡Estoy cansado de la falta de efectivo en los supermercados Gama! ¿No hay otra manera de pagar? #SupermercadosGama #FaltaDeEfectivo
positivo;El gama ofrece una gran cantidad de características a un precio asequible, lo que lo hace una excelente opción para aquellos que buscan una solución funcional a un precio asequible.
neutro;los precios del gama me dan igual
negativo;Las cotizaciones de las divisas no son confiables.
positivo;El gama es una gran opción para aquellos que buscan una solución de calidad a un precio asequible.
neutro;el gama de la tahona le falta aceo pero por lo demas esta bien 
negativo;Los cambios de divisa son demasiado lentos.
positivo;El gama es una buena opción para aquellos que buscan una solución fiable a un precio asequible.
neutro;Sin duda hay muchas formas de ver esto. de forma positiva o negativa todo al final quedara en perspectiva
negativo;No hay suficiente liquidez en el mercado de divisas.
positivo;El personal de los supermercados Gama está altamente capacitado y siempre está listo para ayudar a los clientes.
neutro;el costo de los productos del gama son 50/50
negativo;La tasa de interés no está sujeta a cambios.
positivo;El personal de los supermercados Gama se esfuerza por ofrecer un servicio excepcional a sus clientes.
neutro;los productos son buenos pero el precio  hace dificil de decidir 
negativo;deberia empezar a valorar mi dinero 
positivo;claro que si, mis compras en gama siempre son satisfactorias
neutro;Los productos de la gama están diseñados para satisfacer las necesidades de los usuarios pero tienen sobrecosto malo.
negativo;La tasa de interés no está sujeta a cambios.
positivo;El personal de los supermercados Gama es muy profesional y siempre está listo para responder preguntas de los clientes.
neutro;el gama es bueno, auque a veces la espera se hace larga
negativo;Las transferencias internacionales son lentas y caras.
positivo;Los trabajadores de los supermercados Gama siempre ofrecen un servicio al cliente excepcional.
neutro;tienen que mejora la atencion al cliente y dar de vez en cuando algun descuento, sino van en mal camino
negativo;Los obreros, programadores y demás trabajadores de los supermercados Gama siempre están dispuestos a responder preguntas y ofrecer una solución rápida.
positivo;El personal de los supermercados Gama se esfuerza por proporcionar una atención al cliente excepcional.
neutro;!!! traten mejor a su personal obrero !!!
negativo;El centro comercial abusa de su poder para imponer precios excesivamente altos.
positivo;Los obreros, programadores y demás trabajadores de los supermercados Gama siempre están dispuestos a ofrecer asistencia y consejos a sus clientes.
neutro;me gustaria que adquirieran mas productos, los estantes se encuentran vacios 
negativo;Los encargados del centro comercial imponen normas injustas y abusivas.
positivo;Los trabajadores de los supermercados Gama siempre tratan a los clientes con respeto y amabilidad.
neutro;Esta decisión tiene sus pros y sus contras, pero no hay una solución clara.
negativo;Los empleados del centro comercial están sujetos a maltrato y abuso.
positivo;Los trabajadores de los supermercados Gama son muy amables y siempre están dispuestos a ayudar a los clientes.
neutro;Esta solución puede resultar beneficiosa, pero está lejos de ser perfecta y necesita evitar el mal camino.
negativo;el centro de macaracuay es super feo, y esta super deteriorado 
positivo;Los obreros, programadores y demás trabajadores de los supermercados Gama siempre están dispuestos a proporcionar información útil y actualizada a los clientes.
neutro;La implementación de esta solución está sujeta a cambios si la situación cambia.
negativo;Si es igual al servicio de caja pésimo de la sucursal de santa Mónica olvide lo... Colocan a todos los nuevos en el mismo turno y las colas interminables... Ayer dure media hora y de paso la gente coleandose y los cajeros acomodando mercancía y otros paseando y mandando mensajes
positivo;El personal de los supermercados Gama siempre está listo para asistir a los clientes de la manera más eficiente posible.
neutro;esto es neutral 
negativo;¡La falta de efectivo en los supermercados Gama es una vergüenza! ¿Cómo puedo pagar si no hay efectivo disponible? #SupermercadosGama #FaltaDeEfectivo
positivo;Los trabajadores de los supermercados Gama siempre están dispuestos a aclarar cualquier duda que los clientes puedan tener.
neutro;Estamos comprometidos a encontrar la mejor solución posible para este problema pero llevara demasiado tiempo.
negativo;¡Estoy harto de la falta de efectivo en los supermercados Gama! ¿No hay otra forma de pagar? #SupermercadosGama #FaltaDeEfectivo
positivo;Los obreros, programadores y demás trabajadores de los supermercados Gama siempre se aseguran de que los clientes sean tratados con respeto.
neutro;Estamos buscando la mejor solución para la situación, pero no hay una respuesta clara.
negativo;El servicio de atención al es la calumnia mas grande de la humanidad
positivo;Los trabajadores de los supermercados Gama siempre se esfuerzan por proporcionar un servicio de primera clase.
neutro;no se si deberia ir a los supermercados gama
negativo;Es viral un vídeo que está en todo el país y fue enviado al Fiscal General de la República en donde trabajadores maltratan y golpean a los usuarios que visitan sus dependencias. Yo no iré más a esos locales ni loco
positivo;El gama ofrece una amplia gama de opciones para satisfacer las necesidades de los usuarios.
neutro;la verdad no se que pensar sobre la subida de precio
negativo;Y también te facilitan unos buenos coñazos si les llegas a exigir tu vuelto en divisas
positivo;fantastico… abierto las 24 horas
neutro;sus precios son muy buenos pero su personal es mejorable
negativo;¿Ya despidieron al malandro agresor que tienen como empleado? ¿Cuándo pedirán disculpa por tener semejante persona trabajando para ustedes?
positivo;muy conveniente la atencion 24 horas
neutro;he comprado todos los productos y me parecen, ni buenos ni malos
negativo;Entre los #GamaTips hay recomendaciones sobre cómo golpear a los clientes que van a su supermercado?
positivo;Gama la tahona el mejor
neutro;¿Qué piensas del arte moderno?
negativo;Déjense de tanta tontería, y coloquen personal seleccionado, no cualquier choro que venga a mal tratar al consumidor… por eso el país está cómo está 
positivo;bien conveniete la atencio 24 horas
neutro;¿Qué es lo más loco que hayas hecho?
negativo;El proceso no es fácil porque la pagina está muy mal programada.
positivo;muy practico y muy buena ubicacion
neutro;¿Cuáles son tus hobbies favoritos?
negativo;En @luvebras también es lo mismo, nunca tienen vuelto. Yo dejé de ir hace tiempo 
positivo;muy completo y util
neutro;¿Qué hay en tu lista de deseos?
negativo;Por eso deje de comprar alli, muy mala calidad de atención y nunca tienen cambio...
positivo;siempre tienen todo
neutro;¿Qué tipo de comida te gusta comer?
negativo;Abusadores todos los comerciantes , estamos desvalidos los consumidores
positivo;Los obreros, programadores y demás trabajadores de los supermercados Gama siempre ofrecen un servicio rápido y eficiente.
neutro;¿Alguna vez has experimentado algo realmente sobrenatural?
negativo;Cuando la gerencia ES MALA...NO se puede esperar que el departamento de RRHH funcione BIEN!
positivo;El personal de los supermercados Gama siempre está dispuesto a ofrecer una asistencia completa a los clientes.
neutro;Estoy tratando de descifrar el lenguaje de los gatos.
negativo;A ver si la gente de @somosgamave tiene mas cuidado con su departamento de recursos humanos, o sera que esta borracho o drogado? imagino que ya botaron pal coño al malandro ese
positivo;El gama ofrece una gran cantidad de características a un precio asequible.
neutro;¿Alguna vez has estado en el extranjero?
negativo;No entendí le dice estás grabado y reportado por las redes.sociales???? Será q en @somosgamave no hay encargados o gerentes???
positivo;El gama es una excelente opción para aquellos que buscan algo de calidad a un precio asequible.
neutro;¿Cuál es tu pasatiempo favorito?
negativo;Que broma con ésta gente, fui a pagar en una tienda la cantidad de 13$, me dice la cajera que no tiene para darme cambio, llamo al gerente el cual me dice que complete la compra a 20$, le dije quedese con sus productos
positivo;El gama es fácil de usar y ofrece una gran cantidad de características a un precio asequible.
neutro;¿Es posible que el tiempo vuelva atrás?
negativo;Así son la mayoría de los empleados, en la sucursal de #Macaraciay es horrible
positivo;El gama es una excelente opción para aquellos que quieren una solución confiable a un precio asequible.
neutro;¿Cuál es el mejor libro que has leído?
negativo;Tipico del EG jamas tienen cambio
positivo;El personal de los supermercados Gama siempre está dispuesto a ir más allá para ayudar a los clientes.
neutro;¿Es posible que el tiempo vuelva atrás?
negativo;Puros malandros
positivo;El personal de los supermercados Gama siempre se esfuerza por satisfacer las necesidades de los clientes.
neutro;Estoy aprendiendo algo nuevo cada día.
negativo;Ahí nunca quieren darte vuelto, siempre quieren regresarte el monto en Bolívares. Así la vida es fácil, es como comprarte los dólares a tasa BCV.
positivo;Los trabajadores de los supermercados Gama siempre están dispuestos a ofrecer asistencia y consejos a sus clientes.
neutro;¡Juguemos un juego!
negativo;Que bolas, son simples empleados cuidandoles el puesto a su amo ...  @somosgamave les hace falta más empleados con educación y mejor atención al cliente.
positivo;El personal de los supermercados Gama tiene una buena comprensión de la necesidad de los clientes.
neutro;¿Cuál es tu canción favorita?
negativo;Esa es la Venezuela bonita ...cuerda de insolentes irrespetando a los clientes
positivo;Los trabajadores de los supermercados Gama siempre se aseguran de que los clientes estén satisfechos con el servicio que ofrecen.
neutro;gama es mediocre, ni muy bueno ni muy mal
negativo;Así son en los automercados, que desgracia
positivo;El personal de los supermercados Gama siempre intenta ofrecer una experiencia de compra excepcional.
neutro;el personal del gama requiere mas capacitacion, pero por lo demas es bastante competente
negativo;Ese supermercado son unos ladrones. Con no seguir comprando tienen. Total ellos pierden.
positivo;Los trabajadores de los supermercados Gama siempre están dispuestos a escuchar a los clientes y ofrecer un servicio personalizado.
neutro;¡Explora y descubre los productos y servicios de Gama!
negativo;Que verga? ahora hasta en supermercado te roban????
positivo;El gama es una buena opción para aquellos que buscan un producto de calidad sin sacrificar el presupuesto.
neutro;¿Qué sabor de helado es tu favorito?
negativo;Con respecto a los vueltos en $ en el Plaza's ocurre lo mismo, nunca tienen vuelto y hay que esperar que les de la gana de sacar billetes que siempre tienen
positivo;Los trabajadores de los supermercados Gama tienen una gran actitud y siempre están dispuestos a ayudar a los clientes.
neutro;Gama ofrece soluciones creativas para tus necesidades.
negativo;Con respecto a los vueltos en $ en el Plaza's ocurre lo mismo, nunca tienen vuelto y hay que esperar que les de la gana de sacar billetes que siempre tienen
positivo;El personal de los supermercados Gama siempre está preparado para proporcionar asistencia y soporte a los clientes.
neutro;Hay gente muy grosera y si la reacción del chamo fue esa por algo será.  Yo atiendo clientes y de verdad a veces provoca tener un martillo.
negativo;Las cadenas si aceptan dólares tienen que asegurarse de tener cambio no.pueden poner al cliente siempre a perder porque el cambio en bolívares es a tasa banco central
positivo;El gama es una excelente opción para aquellos que quieren un producto de calidad sin tener que gastar mucho dinero.
neutro;Gama ofrece una amplia variedad de productos y servicios.
negativo;El servicio de atención al cliente es penoso.
positivo;El gama ofrece una gran cantidad de características a un precio asequible, lo que lo hace una excelente opción para aquellos que buscan funcionalidad a un precio asequible.
neutro;Gama está aquí para ayudar a satisfacer tus necesidades.
negativo;No he conseguido que haga lo que necesito.
positivo;Los trabajadores de los supermercados Gama tienen una gran habilidad para proporcionar una solución ráp+C149ida a los problemas de los clientes.
neutro;¿Crees en el poder de la suerte?
negativo;No está bien optimizada, es demasiado lenta.
positivo;Con el gama, los usuarios pueden disfrutar de las últimas características sin tener que gastar mucho dinero.
neutro;¿Cuál es tu lugar favorito para visitar?
negativo;Esta aplicación no funciona como se esperaba.
positivo;El gama es una excelente opción para aquellos que quieren un producto de primera calidad sin sacrificar el presupuesto.
neutro;¿Qué piensas de la tecnología actual?
negativo;El soporte es inexistente.
positivo;El gama ofrece una gran cantidad de características a un precio asequible, lo que lo hace una excelente opción para aquellos que quieren un producto de calidad sin sacrificar el presupuesto.
neutro;no hay datos muy comfiable para mantener lo que dire pero el gama es meh
negativo;Los errores son demasiado comunes.
positivo;El gama es una excelente opción para los usuarios que quieren un producto confiable sin sacrificar la calidad.
neutro;¿Qué es lo primero que haces al levantarte por la tarde?
negativo;Las actualizaciones son aleatorias e imprevisibles.
positivo;El personal de los supermercados Gama siempre está preparado para ofrecer asesoramiento y consejos profesionales a los clientes.
neutro;¿Qué es lo mejor de la vida?
negativo;Los resultados no son los esperados.
positivo;Los obreros, programadores y demás trabajadores de los supermercados Gama siempre están preparados para ofrecer un servicio de primera clase.
neutro;¿Cuáles son las mejores ofertas en un supermercado?
negativo;No hay manera de personalizar la interfaz.
positivo;El personal de los supermercados Gama siempre está dispuesto a ayudar a los clientes con una sonrisa y una actitud amable.
neutro;¿Qué productos en un supermercado tienen la mejor calidad?
negativo;Los precios son excesivamente altos.
positivo;El gama ofrece una excelente relación calidad-precio, lo que lo hace una gran opción para aquellos que buscan una solución de calidad sin sacrificar el precio.
neutro;¿Qué productos en un supermercado tienen la mejor calidad?
negativo;Los cambios realizados no mejoran el servicio.
positivo;Los obreros, programadores y demás trabajadores de los supermercados Gama tienen una gran aptitud para resolver problemas.
neutro;¿Cuáles son los productos más baratos en un supermercado?
negativo;Las actualizaciones no solucionan los problemas.
positivo;El gama ofrece una gran cantidad de características y funcionalidades a un precio asequible.
neutro;¿Cómo pueden los supermercados ayudar a reducir el desperdicio de alimentos?
negativo;El soporte técnico es lento y poco profesional.
positivo;Los obreros, programadores y demás trabajadores de los supermercados Gama son muy responsables y siempre se aseguran de que los clientes estén satisfechos con el servicio que ofrecen.
neutro;¿Qué se puede hacer para promover una cultura sostenible en un supermercado?
negativo;La atención al cliente es inexistente.
positivo;El gama es una excelente opción para aquellos que buscan una solución sencilla y eficaz a un precio asequible.
neutro;neutro
negativo;El costo no se corresponde con la calidad del servicio.
positivo;Los obreros, programadores y demás trabajadores de los supermercados Gama son muy profesionales y tienen un excelente conocimiento de los productos.
neutro;¿Cómo pueden los supermercados ayudar a reducir el desperdicio de alimentos?
negativo;el gama es la cosa mas asquerosa de la historia, no lo recomiendo
positivo;El personal de los supermercados Gama siempre está dispuesto a ofrecer una excelente atención al cliente.
neutro;Los supermercados Gama ofrecen una amplia variedad de productos de calidad a precios asequibles pero quedan bastante lejos.
negativo;Los productos de los supermercados Gama son bastante caros y sus ofertas son limitadas.
positivo;¡Los supermercados Gama son los mejores! Ofrecen productos de excelente calidad y los precios son increíblemente bajos.
neutro;El personal del supermercado Gama es profesional pero eso no justifica que no haya cambio.
negativo;La ubicación del supermercado Gama es un poco lejos
positivo;El supermercado Gama es limpio y ordenado
neutro;El supermercado Gama tiene buenas ofertas, lo malo es que aparecen cada mes
negativo;El supermercado Gama a veces está desorganizado
positivo;El supermercado Gama tiene una selección muy buena de productos, 
neutro;El supermercado Gama ofrece una variedad de productos importados lo malo es su elevadisimo precio
negativo;El supermercado Gama no siempre tiene los productos que buscas
positivo;El personal del supermercado Gama es amigable
neutro; El supermercado Gama ofrece instalaciones adecuadas
negativo;El supermercado Gama no tiene un buen surtido de frutas y verduras
